,title,d23_link,summary
1905,Trail of the Panda,a-to-z/trail-of-the-panda-film/,"The second Disney collaboration with Chinese filmmakers. Lu, an orphan, finds a lost panda cub, Pang Pang, carries his new friend of his back, and begins an exciting trip to return it to its mother. Released in China on May 8, 2009, after an April 27 premiere in Chengdu. Directed by Xhong Yu. Stars Daichi Harashima (Lu). Chinese title is Xiong mao hui jia lu. Filmed at Siguniang Mountain, Balang Mountain, and Wolong Giant Panda Reserve in Sichuan Province. Six different panda cubs were utilized to play Pang Pang; Mao Mao, who played Pang Pang's mother, perished in the May 12, 2008 Sichuan earthquake which nearly destroyed the Wolong Reserve."
1906,Trailer Horn,a-to-z/trailer-horn-film/,"Donald Duck cartoon; released on April 28, 1950. Directed by Jack Hannah. Donald and the chipmunks, Chip and Dale, are after each other again, this time when they come upon Donald vacationing in a trailer. When he goes swimming, they fool him by moving the diving board and end up wrecking his car."
1907,Trains,a-to-z/trains-film/,"Educational film in the Goofy's Field Trips series; released on August 10, 1989. 14 min. Goofy takes two kids on a field trip to learn about trains."
1908,Treasure Buddies,a-to-z/treasure-buddies-film/,"Direct to DVD release on January 31, 2012. The Buddies travel to the ruins of ancient Egypt. In a race against a devious cat, they, and their new friends Cammy (a baby camel) and Babi (a mischievous monkey), must avoid booby traps, solve puzzles, and explore a mysterious tomb, all in search of the greatest treasure known to animalkind, the legendary lost collar of Cleocatra. Directed by Robert Vince. Stars Richard Riehle (Thomas Howard), Edward Herrmann (Philip Wellington), Mason Cook (Pete Howard), With the voices of G. Hannelius (Rosebud), Skyler Gisondo (B-Dawg), Nico Ghisi (Budderball), Field Cate (Buddha), Ty Panitz (Mudbud), Kaitlyn Maher (Cammy). 93 min."
1909,Treasure from the Sea,a-to-z/treasure-from-the-sea-film/,"Educational film demonstrating the benefits of magnesium, which, because of its lightness, can save energy. The film was made for Dow Chemical Co.; delivered on September 30, 1946."
1910,Treasure Island,a-to-z/treasure-island-film/,"Young Jim Hawkins, possessor of a map to buried treasure, and his friends, Squire Trelawney and Dr. Livesey, plan to travel to Treasure Island to hunt for the treasure. Captain Smollett rounds up a crew that includes Long John Silver, who secretly plots a mutiny to secure the map and treasure for himself. When the mutiny fails, Silver escapes, taking Jim with him. When they reach the island, Jim gets away and meets a strange old hermit named Ben Gunn who helps him return to his crewmates, now battling the pirates led by Silver. Finally, the Squire, Smollett, and Gunn disarm Silver, and Gunn leads them to the treasure he had rehidden years earlier. With their captive and the treasure, the crew rows back to the ship, only to have Silver escape with the rowboat, aided by Jim, who has a grudging affection for the rascally pirate. Released on July 19, 1950. Based on the book published in 1881 by Robert Louis Stevenson. Directed by Byron Haskin. The first Disney live-action film without any animation. Also the first Disney film shot in England, in locations off the Cornish coast and Falmouth Bay. 96 min. Stars Bobby Driscoll as Jim Hawkins and Robert Newton as Long John Silver, with Basil Sydney (Capt. Smollett), Finlay Currie (Capt. Bones), Walter Fitzgerald (Squire Trelawney), Denis O'Dea (Dr. Livesey), Geoffrey Wilkinson (Ben Gunn). The Disney company had ""blocked funds"" in England after the war, money that Disney films had earned in the country, which could not be exported due to currency regulations. Walt Disney decided that he could use the money to make some films in England, but since he could not find trained animators there to produce his usual fare, he decided to turn to live action instead. Over the next few years, four live-action films would be made in England. Disney found itself in trouble with British child labor laws when they imported an American boy to star in the film, and it took a bit of deception and cunning to get the film completed. The film was cut for its 1975 re-release in order to gain a G rating, but the so-called violent scenes were restored on a later video release. Released on video in 1981 and 1992."
1911,Treasure of Matecumbe,a-to-z/treasure-of-matecumbe-film/,"Shortly after the Civil War, two 13-year-old boys-one white, the other black-set out from Kentucky to seek a treasure buried in a Florida swamp. During the course of their exciting and often hilarious experiences, they acquire three colorful traveling companions-a dashing adventurer, a tart-tongued Southern belle, and a jaunty old medicine man. It takes the talents and ingenuity of all five to overcome the sinister forces working against them. Released on July 9, 1976. Directed by Vincent McEveety. 116 min. Stars Robert Foxworth (Jim), Joan Hackett (Lauriette), Peter Ustinov (Dr. Snodgrass), Vic Morrow (Spangler), Johnny Doran (David), Billy Attmore (Thad), Jane Wyatt (Aunt Effie), Don Knight (Skaggs), Val De Vargas (Charlie), Dub Taylor (Sheriff Forbes), Dick Van Patten (Gambler). The movie was based on the book A Journey to Matecumbe by Robert Lewis Taylor. The song ""Matecumbe"" was written by Richard McKinley and Shane Tatum. Danville, Kentucky was chosen for the opening scenes, and an old 217-acre plantation estate, built around 1830, became ""Grassy."" The Sacramento River above Colusa, California, became the Mississippi, but the actual Everglades of Florida were used as such in the film, with the cast setting up production headquarters in Kissimmee. The man-made hurricane was shot in part of a rain forest inhabited by ancient Seminole Indians and made by using giant wind machines and tons of water pumped in and blasted at the cast by airplane engines. The last night of the disaster sequence Ustinov was struck by a wave, fell, and was hospitalized with pulled ligaments in his left ankle. The company then moved to a beach at Walt Disney World, where final scenes in the picture were filmed. Released on video in 1986."
1912,Treasure Planet,a-to-z/treasure-planet-film/,"With a nod to Robert Louis Stevenson's Treasure Island, this animated feature follows 15-year-old Jim Hawkins's amazing journey across a fantasy universe as cabin boy aboard a glittering solar galleon, RLS Legacy. Befriended by the ship's cyborg cook (part man, part machine) John Silver, Jim thrives under his guidance, showing the makings of a fine spacer. As the story unfolds, he and the all-alien crew battle supernovas, black holes, and ferocious space storms. But even greater dangers lie ahead when Jim discovers that his trusted mentor Silver is actually a scheming pirate with mutiny in mind. Confronted with a betrayal which cuts deep to his soul, Jim is transformed from boy to man as he finds the strength to face down the mutineers and discovers a ""treasure"" greater than he had ever imagined. Directed by John Musker and Ron Clements. Released on November 27, 2002, simultaneously in regular and large-screen theaters, after a world premiere on November 5 in Paris and a release beginning there November 6. Voices include Martin Short (B.E.N.), David Hyde Pierce (Doctor Doppler), Emma Thompson (Captain Amelia), Joseph Gordon-Levitt (Jim), Brian Murray (John Silver), Michael Wincott (Scroop), Michael McShane (Hands), Roscoe Lee Browne (Mr. Arrow), Corey Burton (Onus), Tony Jay (Narrator), Austin Majors (young Jim), Patrick McGoohan (Billy Bones). 95 min. This was the first animated feature where the backgrounds were all painted in the computer. While most of the characters were drawn by hand, John Silver was a complicated blend of hand-drawn and computer animation. Nominated for an Academy Award for Best Animated Feature. Released on video in 2003."
1913,Trees,a-to-z/trees-film/,Segment of Melody Time. 16mm release in November 1971.
1914,Trenchcoat,a-to-z/trenchcoat-film/,"While vacationing in Malta, aspiring mystery writer Mickey Raymond gets mixed up with disappearing corpses, disbelieving police, a federal agent in disguise, kidnappers, terrorists, and stolen plutonium. She and the federal agent-with whom she is becoming romantically involved-narrowly escape an explosion set to kill them, and they capture the terrorists instead. Released on March 11, 1983. Directed by Michael Tuchner. 92 min. Stars Margot Kidder (Mickey), Robert Hays (Terry), David Suchet (Inspector Stagnos), Gila Von Weitershausen (Eva Warner), Ronald Lacey (Princess Aida), Donald Faraldo (Nino), John Justin (Marquis de Pena). Before the creation of the Touchstone label, of which this would most likely have been an example, the film was simply not released as a ""Disney"" film. The film was shot on location on the island of Malta, in the town of Valletta, Verdala Castle, Hagar Qim Temple, the Grand Master's Palace Armory, the Mosta Dome, St. Paul's Catacombs, and the Dragonara Palace Hotel and Casino. Released on video in 1983."
1915,"Trial of Donald Duck, The",a-to-z/trial-of-donald-duck-the-film/,"Donald Duck cartoon; released on July 30, 1948. Directed by Jack King. Donald refuses to pay his $35 lunch bill at a swanky restaurant and is sentenced in court to washing dishes, which he smashes in revenge."
1916,Triangle of Health,a-to-z/triangle-of-health-film/,"Series of four educational films made for Upjohn in 1968 and 1969: Steps Toward Maturity and Health, Understanding Stresses and Strains, Physical Fitness and Good Health, The Social Side of Health."
1917,Triangle of Health: Keeping the Balance,a-to-z/triangle-of-health-keeping-the-balance-film/,"Educational release in November 1992. 11 min. A girl at camp puts herself on a rigorous training schedule that excludes all other activities, and she becomes ill. She has to learn how to maintain a balance in all areas of life."
1918,Triangle of Health: Moving On,a-to-z/triangle-of-health-moving-on-film/,Educational release in November 1992. 11 min. A young boy becomes sullen and depressed when he learns his family is moving.
1919,Triangle of Health: Personal Challenge,a-to-z/triangle-of-health-personal-challenge-film/,Educational release in November 1992. 10 min. A boy's best friend at camp helps him with a strict training program so he can compete in a race.
1920,Triangle of Health: True Friends,a-to-z/triangle-of-health-true-friends-film/,"Educational release in November 1992. 10 min. A Hungarian girl feels ostracized because she is unfamiliar with American ways at summer camp, and she loses her only friend who doesn't want to be ostracized either."
1921,Trick or Treat,a-to-z/trick-or-treat-film/,"Donald Duck cartoon; released on October 10, 1952. Directed by Jack Hannah. When the nephews come to Donald's house in their Halloween costumes, he plays tricks on them until Witch Hazel joins up with them and with her magical powers teaches Donald a lesson."
1922,Trolley Troubles,a-to-z/trolley-troubles-film/,"Oswald the Lucky Rabbit cartoon; the first released, on September 5, 1927."
1923,Trombone Trouble,a-to-z/trombone-trouble-film/,"Donald Duck cartoon; released on February 18, 1944. Directed by Jack King. The gods Vulcan and Jupiter are disturbed by Pete's sour trombone playing, so they give Donald the power to stop him. After Donald wins, he picks up the trombone and starts playing it himself."
1924,Tron,a-to-z/tron-film/,"Flynn, a young computer genius, breaks into the ENCOM computer looking for evidence that the video game programs he wrote were stolen by Dillinger, an ENCOM executive. Dillinger's Master Control Program must stop Flynn, and it blasts him into its own computer dimension. Flynn awakens in an electronic world, where computer programs are the alter egos of the programmers who created them, and he is sentenced to die on the video game grid. Together with Tron, an electronic security program, Flynn escapes, destroys the MCP, and is able to return to the ""real"" world. Released on July 9, 1982. Directed by Steven Lisberger. 96 min. Photographed in Super Panavision 70mm, this special effects tour de force stars Jeff Bridges (Kevin Flynn/Clu), Bruce Boxleitner (Alan/Tron), David Warner (Dillinger/Sark), Cindy Morgan (Lora/Yori), Barnard Hughes (Dr. Walter/Gibbs), Dan Shor (Ram), Peter Jurasik (Crom), Tony Stephano (Peter/Sark's Lt.). The idea for Tron grew out of director Lisberger's passion for computer games. He and producer Donald Kushner spent two years researching the technology to make the film, on which he made his live-action directorial debut. The film was the first motion picture to make extensive use of computer imagery, requiring much expertise and imagination. Though computer imagery had been previously seen as an effect in motion pictures such as Star Wars and West World, Tron was the first film to use the technique to create a three-dimensional world. The special effects team was headed by futuristic industrial designer Syd Mead, comic artist ""Moebius"" Giraud, and high-tech commercial artist Peter Lloyd. Harrison Ellenshaw supervised the effects with Richard Taylor. Computer graphics were first applied to aerospace and scientific research in the mid-1960s, when methods of simulating objects digitally in their dimensions proved as effective as building models. The technology was then diverted into the entertainment field. Information International Inc. (Triple-I), Robert Able & Associates of Los Angeles, the Mathematic Applications Group Inc. (MAGI), and Digital Effects of New York produced the computer imagery for the film. MAGI, the single largest contributor of computer imagery, speeded up the process of supplying its work to Disney Studios in Burbank by a trans-continental computer hook-up. The computer link cut between 2 1/2 to 5 days from the creation of each scene. The electronic world was shot on soundstages at the Disney Studio in Burbank. Photography for the real world took place at locations around Los Angeles, and at the U.S. Government's futuristic Lawrence Livermore Laboratory outside Oakland, California. The film was not the box office bonanza the Studio had hoped for, but it did spawn a number of popular video games. Tronwas nominated for an Academy Award for Sound, by Michael, Bob, and Lee Minkler and Jim La Rue, and for Costume Design by Elois Jenssen and Rosanna Norton. Released on video in 1982 and 1993."
1925,Tron: Legacy,a-to-z/tron-legacy-film/,"Sam Flynn, the tech-savvy, rebellious 27-year-old son of Kevin Flynn, is haunted by the mysterious disappearance of his father, a man once known as the world's leading tech visionary. When Sam investigates a strange signal sent from the old Flynn's Arcade-a signal that could only come from his father-he finds himself pulled into the digital world of Tron where his father has been living for 20 years. Along with Kevin's loyal confidant and fearless warrior, Quorra, father and son embark on a life-and-death journey of escape across a visually stunning cyber universe created by Kevin himself that has become far more advanced, with never-before-imagined vehicles, weapons, landscapes, and a ruthless villain who will stop at nothing to prevent their escape. Sequel to Steven Lisberger's 1982 cult classic film. Directed by Joseph Kosinski. Released in Disney Digital 3D and IMAX 3D on December 17, 2010. Stars Garrett Hedlund (Sam Flynn), Jeff Bridges (Kevin Flynn/CLU), Olivia Wilde (Quorra), Bruce Boxleitner (Alan Bradley/Tron), James Frain (Jarvis), Beau Garrett (Gem), Michael Sheen (Castor/Zeus). 125 min. Filmed in CinemaScope. Original music by the award-winning electronic music duo, Daft Punk."
1926,Tron: The Next Day,a-to-z/tron-the-next-day/,"5, 2011, on the Tron: Legacy Blu-ray. Chronicles the ""Flynn Lives"" movement that followed the mysterious disappearance of ENCOM computer programmer Kevin Flynn. Stars Dan Shor (Roy ""Ram"" Kleinberg), Bruce Boxleitner (Alan Bradley), Jeff Bridges (Kevin Flynn, voice). 10 min."
1927,Truant Officer Donald,a-to-z/truant-officer-donald-film/,"Donald Duck cartoon; released on August 1, 1941. Directed by Jack King. Donald, as a truant officer, battles with his nephews to force them to go to school. When Donald finally wins and they reach the schoolhouse, he is embarrassed to learn that it is closed for summer vacation. Nominated for an Academy Award."
1928,True Identity,a-to-z/true-identity-film/,"After a long series of discouraging auditions, an aspiring black actor, Miles Pope, takes a flight home. When his plane begins to crash, the passenger in the seat next to him confesses that he is the infamous mob boss Frank Luchino, a man the FBI believes to be dead. The airplane eventually lands safely, but Miles's relief is short lived. He is the only man alive who knows the truth about Luchino and he soon becomes the target of a contract hit man. Forced to hide his true identity under a parade of new disguises, including changing his skin color to white, Miles sets out to protect his life, reveal the crime lord's secret, and realize his dream of being a great actor. Released on August 23, 1991. Directed by Charles Lane. A Touchstone film. 93 min. Stars Lenny Henry (Miles), Frank Langella (Carver), Charles Lane (Duane). Filmed at locations in New York and Los Angeles. Released on video in 1992."
1929,True-Life Adventure Festival,a-to-z/true-life-adventure-festival-film/,Reissues of the True-Life Adventure films in six packages in the summer of 1964.
1930,True-Life Adventures,a-to-z/true-life-adventures-film/,"Series of 13 nature films between 1948 and 1960, including 7 featurettes (Seal Island, Beaver Valley, Nature's Half Acre, The Olympic Elk, Water Birds, Bear Country, Prowlers of the Everglades) and 6 features (The Living Desert, The Vanishing Prairie, The African Lion, Secrets of Life, White Wilderness, Jungle Cat); 8 of them won Academy Awards. See also Seal Island for more history of the series. A new series, called New True Life Adventures, began airing in syndication in February 2000."
1931,"Truly Exceptional, The: Carol Johnston",a-to-z/truly-exceptional-the-carol-johnston-film/,Educational film; released in September 1979. The film depicts the story of a top-ranked gymnast with only one arm and her struggle toward a national championship. Aired as a television special as Lefty.
1932,"Truly Exceptional, The: Dan Haley",a-to-z/truly-exceptional-the-dan-haley-film/,"Educational film; released in September 1979. A blind 16-year-old overcomes seemingly insurmountable obstacles, giving other students a clearer sense of individual human potential."
1933,"Truly Exceptional, The: Tom and Virl Osmond",a-to-z/truly-exceptional-the-tom-and-virl-osmond-film/,"Educational film; released in September 1979. Two young men, deaf since birth, have not let their deafness hinder their success in helping to manage the Osmond family entertainment business."
1934,"Truth About Mother Goose, The",a-to-z/truth-about-mother-goose-the-film/,"Special cartoon featurette; released on August 28, 1957. Directed by Wolfgang Reitherman and Bill Justice. Tells the historical stories behind three popular nursery rhymes (Little Jack Horner; Mary, Mary Quite Contrary; and London Bridge). 15 min. Nominated for an Academy Award."
1935,Tuberculosis,a-to-z/tuberculosis-film/,"Educational film. Produced under the auspices of the Coordinator of Inter-American Affairs. Delivered on August 13, 1945. The film describes tuberculosis as man's deadliest enemy and tells how it can be cured. It stresses prevention and communication."
1936,Tuck Everlasting,a-to-z/tuck-everlasting-film/,"Teenager Winnie Foster longs for a life outside the control of her domineering mother, and when lost in the woods near her home, she happens upon Jesse Tuck, a boy unlike any she has ever met before. He and his family are kind and generous, and they immediately take her in as one of their own. However, the Tucks hold a powerful secret, that of immortality, and with the mysterious Man in the Yellow Suit tracking them down, they fear that their world could end. Ultimately Winnie must decide whether to return to her life or stay with her beloved Jesse and his family forever. Released on October 11, 2002. Directed by Jay Russell. Stars Alexis Bledel (Winnie Foster), Ben Kingsley (Man in the Yellow Suit), Sissy Spacek (Mae Tuck), Amy Irving (Mother Foster), Victor Garber (Robert Foster), Jonathan Jackson (Jesse Tuck), Scott Bairstow (Miles Tuck), William Hurt (Angus Tuck). Narrated by Elisabeth Shue. 90 min. Based on the book by Natalie Babbitt. Filmed in CinemaScope. Released on video in 2003."
1937,Tugboat Mickey,a-to-z/tugboat-mickey-film/,"Mickey Mouse cartoon; released on April 26, 1940. Directed by Clyde Geronimi. Captain Mickey issues orders to shipmates Donald and Goofy to respond to an SOS. But in getting the ship underway, it explodes. Later, they find out the cry for help was only a radio show."
1938,Tummy Trouble,a-to-z/tummy-trouble-film/,"Roger Rabbit cartoon; released on June 23, 1989. Directed by Rob Minkoff. Roger Rabbit is left to babysit with the mischievous Baby Herman. The infant swallows a toy rattle, which is just the beginning of Roger's troubles. When he rushes the baby to the hospital, the duo gets involved in a multitude of misadventures. Voices by Charles Fleischer (Roger Rabbit), Kathleen Turner (Jessica), April Winchell/Lou Hirsch (Baby Herman). The first short cartoon made by the Disney Studio in 24 years. Released on video in 1990 with Honey, I Shrunk the Kids."
1939,"Tunes Behind the Toons, The",a-to-z/tunes-behind-the-toons-the/,"Documentary, released in 2014 at film festivals, which celebrates music in animation, from silent film days with organists and pianists accompanying cartoons to contemporary animated features. Prominent composers offer their insights on how the animation art form developed hand in hand with music. Directed by Dave Bossert. 28 min. Produced by Walt Disney Animation Studios Special Projects."
1940,Turner & Hooch,a-to-z/turner-hooch-film/,"Small-town police detective Scott Turner's life is suddenly turned around when an elderly friend is murdered and Turner unwillingly takes in Hooch, the friend's huge, sloppy, ill-mannered dog, who is the only witness to the murder. Soon Hooch has completely wrecked Turner's house and complicated his budding romance with veterinarian Emily Carson, but the mismatched pair eventually form a partnership in outwitting the crooks. Released on July 28, 1989. Directed by Roger Spottiswoode. A Touchstone film. 98 min. Stars Tom Hanks (Scott Turner), Mare Winningham (Emily Carson). Hooch was portrayed by Beasley, a dog of the French breed called the De Bordeaux. Filmed on Terminal Island near Los Angeles, in San Pedro, and on the Monterey Peninsula. Released on video in 1990."
1941,Two Chips and a Miss,a-to-z/two-chips-and-a-miss-film/,"Chip and Dale cartoon; released on March 21, 1952. Directed by Jack Hannah. Chip and Dale attend a nightclub and fall in love with the female entertainer, another chipmunk named Clarice, who divides her attention between the two."
1942,Two for the Record,a-to-z/two-for-the-record-film/,"Special cartoon combining After You've Gone and All the Cats Join In from Make Mine Music; released on April 23, 1954."
1943,Two Gun Goofy,a-to-z/two-gun-goofy-film/,"Goofy cartoon; released on May 16, 1952. Directed by Jack Kinney. Goofy, by accident, becomes a hero and a sheriff when he interrupts a stagecoach robbery."
1944,Two Much,a-to-z/two-much-film/,"A struggling art gallery owner in Miami, Art Dodge, works a scam of trying to get widowed spouses of recently-deceased men to pay for paintings the men allegedly purchased. But he gets into trouble when one of his patsies turns out to be the widow of a purported mob boss, and Art finds himself in the middle of a wacky romantic triangle involving the man's son and ex-wife. The wealthy ex-wife, Betty, announces her intention to marry Art, and he is not turned off by the thought of her money, but he really loves Betty's sister, Liz, an art instructor. Since Liz will have nothing to do with this supposed fortune hunter, Art creates a new persona of a long-lost twin brother, Bart, who is free to pursue Liz. Needless to say, this leads to chaos. Released on March 15, 1996. Directed by Fernando Trueba. A Touchstone Pictures presentation of an Interscope Communications production, in association with Occidental Media. Stars Antonio Banderas (Art/Bart), Danny Aiello (Gene), Melanie Griffith (Betty), Daryl Hannah (Liz), Eli Wallach (Sheldon Dodge), Joan Cusack (Gloria Fletcher). 118 min. Filmed in CinemaScope. Based on the novel by Donald E. Westlake. The movie was based on a script originally created in Spain by Fernando and David Trueba, and filmed on location in Miami. Released on video in 1996."
1945,Two Silhouettes,a-to-z/two-silhouettes-film/,"Segment of Make Mine Music, ""Ballade Ballet,"" featuring Tania Riabouchinska and David Lichine dancing and Dinah Shore singing. The song is by Charles Wolcott and Ray Gilbert."
1946,Two Weeks Vacation,a-to-z/two-weeks-vacation-film/,"Goofy cartoon; released on October 31, 1952. Directed by Jack Kinney. Goofy goes on his vacation but gets tangled up with a trailer and has various other mishaps until he ends up peacefully in jail."
1947,Two-Gun Mickey,a-to-z/two-gun-mickey-film/,"Mickey Mouse cartoon; released on December 15, 1934. The first cartoon directed by Ben Sharpsteen. In this Western adventure, Pete and his bandits rob and fire on Minnie before she is rescued by Mickey, who disposes of the gang."
1948,"Ugly Dachshund, The",a-to-z/ugly-dachshund-the-film/,"When a Great Dane puppy is put into a litter of dachshunds, the puppy grows up thinking he's a dachshund, too, thereafter causing no end of humorous complications in the lives of Mark Garrison, a magazine illustrator, and his lovely wife, Fran. The Great Dane finally proves his worth, realizing just what kind of an animal he is, and peace once more descends on the Garrison household. Released on February 4, 1966. Directed by Norman Tokar. 93 min. Stars Dean Jones (Mark Garrison), Suzanne Pleshette (Fran Garrison) in her Disney debut, along with Charlie Ruggles (Dr. Pruitt), Kelly Thordsen (Officer Carmody), and Parley Baer (Mel Chadwick). For the title role of Brutus, the animal trainer found a three-year-old prize-winning Great Dane named Diego of Martincrest. But needing a dog with more experience for some of the more demanding scenes, he found a double in Duke, whom he had used earlier as one of the Great Danes in Swiss Family Robinson. Released on video in 1986."
1949,"Ugly Duckling, The",a-to-z/ugly-duckling-the-film/,"Silly Symphony cartoon; released on December 17, 1931. Directed by Wilfred Jackson. When a mother hen scorns a little duckling, it runs away in dismay. But when a tornado dumps her chicks into the flooded river, the duckling saves them from going over the waterfall. A hero, he is now one of the family. The film is from a story by Hans Christian Andersen. Remade in color as the last Silly Symphony, released on April 7, 1939. Directed by Jack Cutting. The remake changed the story to have a baby ""duckling"" shunned by his family because of his ugliness until a mother swan recognizes him as a swan and adopts him as one of her brood. It won an Academy Award as Best Cartoon. An educational version was entitled Hans Christian Andersen's The Ugly Duckling."
1950,Unbreakable,a-to-z/unbreakable-film/,"David Dunn is the sole survivor of a devastating train wreck. Elijah Price is a mysterious stranger who offers a bizarre explanation as to why David escaped without a single scratch, an explanation that threatens to change David's family and life forever. Released on November 22, 2000. A Touchstone Picture. Directed by M. Night Shyamalan. Stars Bruce Willis (David Dunn), Samuel L. Jackson (Elijah Price), Robin Wright Penn (Audrey Dunn), Charlayne Woodard (Elijah's mother), Spencer Treat Clark (Joseph Dunn). 107 min. Filmed in CinemaScope. Shot on location in and around Philadelphia. Released on video in 2001."
1951,Uncle Donald's Ants,a-to-z/uncle-donalds-ants-film/,"Donald Duck cartoon; released on July 18, 1952. Directed by Jack Hannah. Donald has ant trouble when sugar spills from a bag he is carrying. This leads to a battle with the ants at his home over a jug of maple syrup, eventually resulting in Donald's car exploding and the ants enjoying the syrup."
1952,Under the Gun,a-to-z/under-the-gun-film/,"Dramatic educational film for children about handgun violence, produced in cooperation with the Center to Prevent Handgun Violence and sponsored by MetLife. 26 min. Released in January 1995."
1953,Under the Tuscan Sun,a-to-z/under-the-tuscan-sun-film/,"Freshly divorced San Francisco writer Frances Mayes is depressed, but her best friend, Patti, offers a gift to try to shake Frances out of her lethargy-a ten-day trip to Tuscany, in the heart of Italy. Once there, under the Tuscan sun, Frances impulsively buys a run-down villa named ""Bramasole,"" literally ""something that yearns for the sun."" As she embraces the local ways and devotes herself to the restoration of her new home, Frances finds herself forming close bonds with people around her and slowly rediscovers the pleasures of laughter, friendship, and romance. A Touchstone Picture. Directed by Audrey Wells. Released on September 26, 2003. Stars Diane Lane (Frances Mayes), Sandra Oh (Patti), Lindsay Duncan (Katherine), Raoul Bova (Marcello), Vincent Riotta (Martini). 115 min. Based on the book by Frances Mayes. Filmed on location in Cortona, Positano, Rome, and Florence, Italy. Released on video in 2004."
1954,Underdog,a-to-z/underdog-film/,"After an accident in the mysterious lab of maniacal scientist Dr. Simon Barsinister, an ordinary beagle, Shoeshine, unexpectedly finds himself with unimaginable powers and the ability to speak. Armed with a fetching superhero costume, Underdog vows to protect the beleaguered citizens of Capitol City and, in particular, one beautiful spaniel named Polly Purebred. When a sinister plot by Barsinister and his overgrown henchman Cad threatens to destroy Capitol City only Underdog can save the day. From Walt Disney Pictures in association with Spyglass Entertainment. Released on August 3, 2007. Directed by Frederik Du Chau. Stars James Belushi (Dan), Alex Neuberger (Jack), Peter Dinklage (Dr. Simon Barsinister), Patrick Warburton (Cad), Jason Lee (voice of Underdog), Amy Adams (voice of Polly Purebred), Brad Garrett (voice of Riff Raff). Shoeshine/Underdog is played by Leo, a lemon beagle, Polly by Ginger, a Cavalier King Charles spaniel, and Riff Raff by Bronco, a rottweiler. 82 min. Filmed in Super 35. Based on the 1960, 121-episode, animated television series created by W. Watts Biggers. Providence, Rhode Island, portrayed the movie's Capitol City."
1955,Understanding Alcohol Use and Abuse,a-to-z/understanding-alcohol-use-and-abuse-film/,"Educational film produced by Reynolds Film Export, John Ewing; released in September 1979. The dangers of alcohol abuse are shown through animation."
1956,Understanding Stresses and Strains,a-to-z/understanding-stresses-and-strains-film/,Educational film made for Upjohn's Triangle of Health series; released in June 1968. The film suggests the use of common sense to minimize the normal stresses and strains of life.
1957,Unidentified Flying Oddball,a-to-z/unidentified-flying-oddball-film/,"In this updated adaptation of Mark Twain's A Connecticut Yankee in King Arthur's Court, an astronaut and his robot companion accidentally fly backwards in time and end up as prisoners at the court of King Arthur. A jealous Merlin and Mordred plot to overthrow the king, but thanks to modern technology, the knights of the round table are able to defeat the evil forces in a rousing climactic battle. Released first in England as The Spaceman and King Arthur on July 10, 1979; U.S. release on July 26, 1979. Directed by Russ Mayberry. 93 min. The television title was The Spaceman in King Arthur's Court. Stars Dennis Dugan (Tom), Jim Dale (Sir Mordred), Ron Moody (Merlin), Kenneth More (King Arthur), Rodney Bewes (Clarence), John Le Mesurier (Sir Gawain), Sheila White (Alisande). The film was shot on location at Alnwick Castle and at Pinewood Studios, London, England. Alnwick Castle, which dates back to the eleventh century doubled for Camelot. A banquet hall within the castle walls was converted into a commissary to provide meals for the more than 150 filmmakers and 1,000 extras. All of the extras were rounded up from within a 50-mile radius, including the people of the historic market town of Alnwick. A large special effects team headed by Cliff Culley and Ron Ballanger created Hermes, the robot; laser guns; a jet-pack that flies; a magnetized sword; and a 25-foot-long space shuttle aircraft with a retractable ramp and compact four-foot moon rover that expands to seven feet, with various screens, a solar disc, and a large hydraulic arm that emerges and operates on cue. When space suits designed by NASA proved impractical, a space-garb specialist, Olinkha Horne, was put to work to create new costumes. Released on video in 1986."
1958,"United Nations, The",a-to-z/united-nations-the-film/,"Educational film, in Mickey's Field Trips series; released on July 27, 1989. 16 min. It provides a guided tour through the United Nations complex."
1959,Unstrung Heroes,a-to-z/unstrung-heroes-film/,"Steven Lidz is 12 years old and his world is falling apart. Overwhelmed by his life with an ailing mother and an emotionally disturbed father, Steven runs off to live with his two wildly eccentric uncles, Danny and Arthur. Baffled by the tragedies surrounding him, Steven finds solace in the idiosyncrasies of his uncles' strange and wonderful world, and begins understanding his life. Limited release on September 15, 1995; general release on September 22. A Hollywood Pictures film. Directed by Diane Keaton. Stars Andie MacDowell (Selma Lidz), John Turturro (Sid Lidz), Michael Richards (Danny), Maury Chaykin (Arthur), Nathan Watt (Steven). 93 min. Filmed on location in Los Angeles and Pasadena, California. Released on video in 1996."
